object_id,judul,kategori
26824,"Shield (peurise tuju bintang ""seven star shield"")",senjata
31220,Sword with Scabbard,senjata
31399,Sword,senjata
316457,Palepai maju (ceremonial banner),lainnya
31781,"Shield (<i>Peurise tuju bintang</i>, ""seven star shield"")",senjata
37414,Seated Bodhisattva Vajrapani (?),arca
37415,The Buddhist Guardian Mahabala,arca
37416,Water Spout in the Form of a Makara,arsitektur
37417,Finial with Lions and Makaras,arsitektur
37418,Finial with a Kinnari,arsitektur
37419,Finial with a Cockerel,arsitektur
37420,Finial with a Cockerel,arsitektur
37620,Standing Male Figure,arca
37621,Crescent-Shaped Ax Head (Chandrasa),senjata
37683,Mirror Handle,lainnya
37686,Hand Bell,ritual
37687,Hand Bell,ritual
37688,Temple Bell,ritual
37689,Hand Bell,ritual
37691,Hand Bell,ritual
37692,Hand Bell,ritual
37697,Rattle with a Coiled Serpent,wadah
37699,Slit Gong (Kentongan),ritual
37702,Naga Spout from a Holy-Water Vessel,arsitektur
37704,Holy-Water Vessel,wadah
37706,Decorated Lid(?),wadah
37707,Hinged Box in the Form of a Tortoise,wadah
37711,Holy-Water Vessel,wadah
37727,Slit Gong (Kentongan),ritual
37743,Ceremonial Object in the Shape of an Ax,senjata
37747,Box for Betel Leaves,wadah
37748,Ax Head with Bearded Face,senjata
37749,Hafted Ax,senjata
37750,Anthropomorphic Lime Container,wadah
37751,Lime Container with Figural Handles,wadah
37752,Anthropomorphic Lime Container,wadah
37755,Tympanum of a Pejeng-Type Drum,arsitektur
38178,Seated Four-Armed Ganesha,arca
38263,Head of a Male Deity,arca
38266,Figure of Kuvera,arca
38267,Head of a Buddha,arca
38269,"Male Deity, probably Padmapani",arca
38270,Torso of a Bodhisattva,arca
38273,"The Goddess Durga Victorious over the Buffalo Demon, Mahisha (Mahishasuramardini)",arca
38278,Architectural Element with Head of a Buddha,arsitektur
38280,Water Spout in the Form of a Makara,arsitektur
38281,Water Spout in the Form of a Makara,arsitektur
38282,Bust of a Bodhisattva,arca
38285,Seated Transcendent Buddha Vairochana,arca
38286,Seated Transcendent Buddha Akshobhya (?),arca
38289,"Head of a Buddhist Deity, Perhaps Amitabha",arca
38481,Antefix with Head of a Male Deity,arsitektur
38483,Lintel with the Head of a Male Deity,arsitektur
38603,"Head of Manjushri, the Bodhisattva of Transcendent Wisdom",arca
38627,Ax with Rounded Top,lainnya
38629,Ax,lainnya
38630,Ax with Ridge on Top,lainnya
38632,Ceremonial Ax,senjata
38960,Standing Padmapani Lokeshvara,arca
38994,Buddha Attended by Bodhisattvas Avalokiteshvara and Maitreya,arca
38996,"Standing Manjushri, the Bodhisattva of Transcendent Wisdom",arca
38998,Standing Buddha Shakyamuni,arca
39003,Seated Four-Armed Ganesha,arca
39004,Seated Ganesha,arca
39007,"Surya, the God of the Sun",arca
39008,Standing Four-Armed Vishnu,arca
39012,"Seated Four Armed Jambhala, the Buddhist God of Wealth",arca
39013,Seated Kuvera,arca
39014,"Seated Two-Armed Jambhala, the Buddhist God of Wealth",arca
39016,"Seated Four-Headed and Four-Armed Jambhala(?), the Buddhist God of Wealth",arca
39020,Seated Transcendent Buddha Vairochana,arca
39021,The Transcendent Buddha Vairochana (?) Seated in Western Fashion,arca
39024,"Seated Vairochana, the Transcendent Buddha of the Center",arca
39026,Standing Padmapani Lokeshvara,arca
39027,Seated Bodhisattva Vajrapani (?),arca
39028,Seated Bodhisattva Vajrasattva,arca
39032,"Seated Bodhisattva Maitreya, the Buddha of the Future",arca
39035,The Transcendent Buddha Ratnasambhava Flanked by Two Bodhisattvas,arca
39036,Standing Four-Armed Avalokiteshvara Flanked by Tara and Bhrikuti(?),arca
39037,Seated Bodhisattva Vajrapani,arca
39038,"Prajnaparamita, the Buddhist Goddess of Transcendent Wisdom",arca
39045,Seated Male Deity Holding a Parasol and an Unidentified Object,arca
39046,Seated Male Deity Supporting a Vajra on His Finger,arca
39047,Seated Male Deity Holding a Cuirass (Chest Armour),arca
39048,Seated Male Deity Holding Two Ritual Objects,ritual
39049,Seated Deity Holding a Double Vajra,arca
39050,Seated Deity from an Esoteric Buddhist Mandala,arca
39053,Kinnari Playing the Vina,ritual
39054,Seated Female Deity Holding a Conch and Branch (?),arca
39056,Seated Four-Armed Bodhisattva,arca
39058,Seated Esoteric Buddhist Deity,arca
39061,Top of a Bell in the Form of a Kneeling Demon,ritual
39062,Top of a Bell in the Form of a Demon King or Guardian,ritual
39075,Hanging Lamp in the Form of a Kinnari,ritual
39076,Hanging Lamp in the Form of a Kinnari,ritual
39077,Standing Kinnari Holding an Oil Receptacle,ritual
39079,Finial with a Makara Disgorging a Lion,arsitektur
39083,Bell Handle with Seated Ganesha,ritual
39151,Seated Bodhisattva Vajrasattva,arca
39152,Seated Bodhisattva,arca
39160,Seated Esoteric Buddhist Deity,arca
39169,Seated Male Deity Holding a Manuscript(?),arca
39186,Standing Buddha,arca
39203,Halberd Head with Nagas and Blades,senjata
39204,Ax Head with Human Body,senjata
39205,Seated Figure,arca
39206,Seated Female Figure,arca
39241,Mold of Figure on Horse with Attendant,wadah
39242,Mold (Bird-Shaped),wadah
39243,Mold (Mountain-Shaped),wadah
39245,Mold (Square-Shaped with Flower),wadah
39247,Mold (Pentagon-Shaped with Flower),wadah
39268,Standing Male Ruler (?),arca
39350,Top of a Scepter,ritual
39426,Arm Band with Man's Head,arca
40075,Male Anthropomorph,arca
40118,Weapon Handle with Ganesha,senjata
40123,Chastity Plaque,wadah
44615,Antefix with a Mythical Kala Face,arsitektur
502064,Sesando,lainnya
504986,Bell,ritual
505106,Gheṇṭa (prayer bell),ritual
505107,Gheṇṭa (prayer bell),ritual
505108,Gheṇṭa (prayer bell),ritual
505111,Gheṇṭa (prayer bell),ritual
50704,Seated Female Esoteric Buddhist Deity,arca
51312,Anthropomorphic Lime Container,wadah
51314,Lime Container Topped by a Warrior,wadah
51339,Lime Spatula with Animal Head,wadah
51342,Anthropomorphic Lime Spatula,wadah
51343,Anthropomorphic Lime Spatula,wadah
51348,Anthropomorphic Figure,arca
51623,Lid with Figurative Scenes,wadah
53038,Asymmetrical Hafted Ax,senjata
53045,Hafted Ax with Moko-Style Face,senjata
53046,Hafted Ax with Abstract Face,senjata
53049,Swallowtail Hafted Ax with Chevron Design,senjata
53055,Celt,senjata
53057,Hafted Flask-Shaped Ax with Face,senjata
53072,Hafted Ax,senjata
53086,Hafted Ax,senjata
53094,Swallowtail Hafted Ax with Diamond Pattern,senjata
53098,Crescent-Shaped Ax Head (Chandrasa) with Decorated Socket,senjata
54289,Standing Warrior,arca
56277,Posthumous Portrait of a Queen as Parvati,arca
64386,"Standing Manjushri, the Bodhisattva of Infinite Wisdom",arca
