Object_ID,Judul,Budaya,Lisensi,URL_Gambar_API,URL_Web_Sumber
37743,Ceremonial Object in the Shape of an Ax,"Indonesia, possibly Sulawesi",CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP221496.jpg,https://www.metmuseum.org/art/collection/search/37743
38267,Head of a Buddha,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP-15581-044.jpg,https://www.metmuseum.org/art/collection/search/38267
37747,Box for Betel Leaves,Indonesia (Sulawesi),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP228215.jpg,https://www.metmuseum.org/art/collection/search/37747
39076,Hanging Lamp in the Form of a Kinnari,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT8671.jpg,https://www.metmuseum.org/art/collection/search/39076
39021,The Transcendent Buddha Vairochana (?) Seated in Western Fashion,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT8665.jpg,https://www.metmuseum.org/art/collection/search/39021
39020,Seated Transcendent Buddha Vairochana,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT5232.jpg,https://www.metmuseum.org/art/collection/search/39020
72498,Enthroned Buddha Attended by the Bodhisattvas Avalokiteshvara and Vajrapani,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/ASA501.jpg,https://www.metmuseum.org/art/collection/search/72498
316457,Palepai maju (ceremonial banner),Lampung peoples,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/ao/original/DP-23928-001.jpg,https://www.metmuseum.org/art/collection/search/316457
38994,Buddha Attended by Bodhisattvas Avalokiteshvara and Maitreya,Sumatra or southern Thailand,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/LK.1984.386.4_DP303951R1_25U.jpg,https://www.metmuseum.org/art/collection/search/38994
39204,Ax Head with Human Body,Indonesia (Roti Island),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/2000_284_39.jpg,https://www.metmuseum.org/art/collection/search/39204
72714,Standing Four-Armed Shiva,Indonesia,CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP131419.jpg,https://www.metmuseum.org/art/collection/search/72714
40075,Male Anthropomorph,Indonesia (Sulawesi),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP158747.jpg,https://www.metmuseum.org/art/collection/search/40075
39186,Standing Buddha,Indonesia (Kalimantan),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DT6987.jpg,https://www.metmuseum.org/art/collection/search/39186
37755,Tympanum of a Pejeng-Type Drum,Indonesia (Sumba),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/29G_A30R4.jpg,https://www.metmuseum.org/art/collection/search/37755
39426,Arm Band with Man's Head,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/DP-14791-013.jpg,https://www.metmuseum.org/art/collection/search/39426
40123,Chastity Plaque,Indonesia (Java),CC0 (Public Domain),https://images.metmuseum.org/CRDImages/as/original/1998_544_5.jpg,https://www.metmuseum.org/art/collection/search/40123
